Rk,Name,Yrs,From,To,ASG,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,Debut,Age,Tm,Name-additional,DataY,Tipo
1,Mick Abel,2,2025,2026,0,0.0,2,4,0.333,5.77,8,5,1,0,0,0,34.1,40,23,22,1,17,1,41,3,0,0,159,1.66,May 18 2025,23,PHI,abelmi01,2025,Pitcher
1,Mick Abel,2,2025,2026,0,0.3,2,2,0.5,5.04,6,6,0,0,0,0,25.0,25,14,14,7,9,0,21,1,0,2,108,1.36,May 18 2025,23,MIN,abelmi01,2025,Pitcher
3,Travis Adams,2,2025,2026,0,-1.3,2,4,0.333,7.32,33,2,8,0,0,2,55.1,61,46,45,11,28,0,60,3,0,6,255,1.608,Jul 5 2025,25,MIN,adamstr01,2025,Pitcher
4,Zach Agnos,2,2025,2026,0,-1.2,1,5,0.167,7.08,52,2,21,0,0,6,82.2,94,70,65,13,40,2,54,3,0,4,376,1.621,Apr 20 2025,24,COL,agnosza01,2025,Pitcher
5,Julian Aguiar,1,2024,2024,0,-0.1,2,1,0.667,6.25,7,7,0,0,0,0,31.2,30,22,22,8,12,1,19,5,0,1,140,1.326,Aug 19 2024,24,CIN,aguiaju01,2025,Pitcher
6,Elvis Alvarado,2,2025,2026,0,0.8,4,4,0.5,3.99,58,0,22,0,0,2,65.1,52,31,29,11,29,1,77,2,0,2,273,1.24,May 9 2025,26,ATH/OAK,alvarel01,2025,Pitcher
7,Braxton Ashcraft,2,2025,2026,0,4.5,12,7,0.632,3.08,43,25,6,0,0,0,172.1,151,64,59,14,47,1,186,8,0,1,708,1.149,May 26 2025,25,PIT,ashcrbr01,2025,Pitcher
8,Lake Bachar,3,2024,2026,0,1.5,8,3,0.727,3.59,91,5,21,0,0,4,125.1,93,55,50,17,51,3,134,6,0,7,517,1.149,Sep 8 2024,30,MIA,bachala01,2025,Pitcher
9,Kyle Backhus,2,2025,2026,0,-0.1,1,3,0.25,5.06,45,1,13,0,0,2,37.1,43,23,21,5,10,0,33,3,0,1,168,1.42,Jun 8 2025,27,ARI,backhky01,2025,Pitcher
10,Brady Basso,3,2024,2026,0,0.4,2,2,0.5,4.46,22,5,6,0,0,0,38.1,46,20,19,4,15,1,29,0,0,1,174,1.591,May 31 2024,27,ATH/OAK,bassobr01,2025,Pitcher
11,Clayton Beeter,3,2024,2026,0,1.3,3,3,0.5,2.87,49,0,13,0,0,7,47.0,23,15,15,3,32,3,60,2,0,7,193,1.17,Mar 29 2024,26,WSN,beetecl01,2025,Pitcher
11,Clayton Beeter,3,2024,2026,0,-0.3,0,1,0.0,9.82,5,0,1,0,0,0,7.1,9,8,8,2,5,0,6,0,0,0,35,1.909,Mar 29 2024,26,NYY,beetecl01,2025,Pitcher
12,Ryan Bergert,1,2025,2025,0,1.1,1,0,1.0,2.78,11,7,2,0,0,0,35.2,24,11,11,4,18,0,34,1,0,1,149,1.178,Apr 26 2025,25,SDP,bergery01,2025,Pitcher
12,Ryan Bergert,1,2025,2025,0,0.2,1,2,0.333,4.43,8,8,0,0,0,0,40.2,37,21,20,4,17,1,39,0,0,1,174,1.328,Apr 26 2025,25,KCR,bergery01,2025,Pitcher
